field,scope,my_value_UNVERIFIED,your_value,unit,notes
final_value_fee_pct,"Clothing, Shoes & Accessories - no Store or Starter Store",13.25,13.6,percent of total amount of sale,"CONFIRMED WRONG then CORRECTED. eBay id=4822 read 2026-08-18: CSA falls under 'Most categories' at 13.6% on the total amount of the sale up to $7,500 per item. Total = item price + handling + buyer-paid shipping + sales tax + other fees. The old 13.25 is a real eBay number but it belongs to Coins & Paper Money and the trading-card categories, not apparel."
final_value_fee_pct,"Clothing, Shoes & Accessories - Basic, Premium, Anchor or Enterprise Store",,12.7,percent of total amount of sale,"NEW ROW. Store subscribers Basic and above pay 12.7% on the total up to $2,500 per item. Starter Store gets NO discount - it pays the same 13.6% as a no-Store seller. Source: eBay id=4809."
final_value_fee_pct,"Clothing, Shoes & Accessories - portion over threshold",2.35,2.35,percent,"Rate confirmed, THRESHOLD WAS WRONG. Not $2,000. It is 2.35% on the portion over $7,500 for no-Store and Starter, and on the portion over $2,500 for Basic and above. This is marginal - only the portion above the threshold gets the lower rate."
final_value_fee_pct,"Women's Bags & Handbags $2,000 or less - no Store or Starter",15.0,15.0,percent,"CONFIRMED. Note the STRUCTURE is a cliff, not marginal: if the sale total is $2,000 or less the WHOLE amount is charged at 15%; over $2,000 the WHOLE amount is charged at 9%. Different math from the apparel tiers above - the calculator has to model both shapes."
final_value_fee_pct,"Women's Bags & Handbags over $2,000 - no Store or Starter",,9.0,percent,"NEW ROW. Whole-amount rate once the sale total exceeds $2,000."
final_value_fee_pct,"Women's Bags & Handbags $2,000 or less - Basic Store and above",,13.0,percent,"NEW ROW."
final_value_fee_pct,"Women's Bags & Handbags over $2,000 - Basic Store and above",,7.0,percent,"NEW ROW."
final_value_fee_pct,"Athletic Shoes sale total $150 or more - no Store or Starter",8.0,8.0,percent,"CONFIRMED including the no-per-order-fee part. eBay's exact words: '8% if total amount of the sale is $150 or more. The per order fee is not charged.' The $150 test is on the SALE TOTAL. A separate $150 test on the STARTING price (Buy It Now price for fixed price) drives the free insertion fee - the two tests are different and both exist."
final_value_fee_pct,"Athletic Shoes sale total under $150 - no Store or Starter",,13.6,percent,"NEW ROW. Falls back to the standard rate AND the per-order fee is charged again."
final_value_fee_pct,"Athletic Shoes sale total $150 or more - Basic Store and above",,7.0,percent,"NEW ROW. Per order fee also not charged."
final_value_fee_pct,"Athletic Shoes sale total under $150 - Basic Store and above",,12.7,percent,"NEW ROW."
final_value_fee_pct,"Sneakers as a separate category",8.0,SAME AS ATHLETIC SHOES,percent,"RESOLVED - there is no separate sneaker rate. eBay names exactly two categories: Men > Men's Shoes > Athletic Shoes and Women > Women's Shoes > Athletic Shoes. 'Sneakers' is not a fee category. Delete this row from the model and use the Athletic Shoes rows."
per_order_fixed_fee,orders $10.00 and under,0.30,0.30,USD per order,"CONFIRMED. An order = any number of items bought by the same buyer at checkout with the same shipping method, so it is per order and not per item."
per_order_fixed_fee,orders over $10.00,0.40,0.40,USD per order,CONFIRMED.
insertion_fee,no Store - per listing past the free allotment,0.35,0.35,USD per listing,"CONFIRMED for sellers with no Store. Non-refundable if the item does not sell, charged per category if you list in two, and charged again on every relist and every monthly Good 'Til Cancelled renewal."
insertion_fee,Starter Store,,0.30,USD per listing,"NEW ROW. Store tiers pay less per listing, not the flat $0.35."
insertion_fee,Basic Store,,0.25,USD per listing,NEW ROW.
insertion_fee,Premium Store - fixed price,,0.10,USD per listing,"NEW ROW. Auction-style is $0.15 at Premium."
insertion_fee,Anchor Store - fixed price,,0.05,USD per listing,"NEW ROW. Auction-style is $0.10 at Anchor."
insertion_fee,Enterprise Store - fixed price,,0.05,USD per listing,"NEW ROW. Auction-style is $0.10 at Enterprise."
insertion_fee,Athletic Shoes with starting price $150 or more,,0.00,USD per listing,"NEW ROW. Free at every Store level and with no Store. Starting price means the auction start price or the Buy It Now price, before shipping, handling, tax and fees."
free_listings_per_month,no store subscription,250,250,listings,CONFIRMED.
free_listings_per_month,Starter store,250,250,listings,"CONFIRMED and the earlier worry was unfounded - the 250 covers both auction-style and fixed price at Starter."
free_listings_per_month,Basic store,1000,1000,listings,"CONFIRMED for fixed price, all categories. Two extras the flat number hides: 10,000 free in select categories, and only 250 free auction-style listings in select categories."
free_listings_per_month,Premium store,10000,10000,listings,"CONFIRMED fixed price all categories. Also 50,000 in select categories and 500 auction-style in select categories."
free_listings_per_month,Anchor store,25000,25000,listings,"CONFIRMED fixed price all categories. Also 75,000 in select categories and 1,000 auction-style in select categories."
free_listings_per_month,Enterprise store,100000,100000,listings,"CONFIRMED fixed price all categories, and 100,000 in select categories, and 2,500 auction-style in select categories. Enterprise can also buy add-on bundles: 10,000 more for $250, 50,000 more for $1,000, use-it-that-month."
store_monthly_cost,Starter,7.95,4.95,USD per month on yearly renewal,"UNIT MISMATCH FOUND. 7.95 is the MONTHLY-renewal price; the yearly-renewal price, which is what 'billed annually' means, is 4.95. Same pattern on every tier below. Either bill both numbers or change the unit."
store_monthly_cost,Basic,27.95,21.95,USD per month on yearly renewal,"Monthly renewal is 27.95."
store_monthly_cost,Premium,74.95,59.95,USD per month on yearly renewal,"Monthly renewal is 74.95."
store_monthly_cost,Anchor,349.95,299.95,USD per month on yearly renewal,"Monthly renewal is 349.95."
store_monthly_cost,Enterprise,2999.95,2999.95,USD per month on yearly renewal,"CONFIRMED, and Enterprise is yearly-renewal ONLY - eBay lists monthly renewal as 'Not currently available'."
promoted_listings_standard_min,seller-set ad rate floor,2.0,2.0,percent,"CONFIRMED. eBay id=4164: 'You choose an ad rate between 2% - 100%'. Charged only if the item sells within 30 days of a click, and the rate applies to the full sale total including shipping and tax."
promoted_listings_standard_typical,apparel,5.0,STILL NEEDS YOUR NUMBER,percent,"NOT PUBLISHED and not confirmable. eBay only offers a per-listing 'suggested ad rate' that moves daily with season, competition and item attributes. Pull your actual blended rate from Seller Hub Advertising dashboard, or from the sales report, and put it here. Leaving 5.0 in as a guess makes the whole calculator wrong in a way nobody can see."
