url,impressions_6mo,clicks_6mo,ctr_actual_pct,avg_position,ctr_expected_pct,clicks_being_missed_6mo,section,current_title,proposed_title,proposed_meta_description
/grading/glossary/vguc,503,1,0.2,8.8,2.9,13.5,/grading,VGUC Meaning (Very Good Used Condition) | GradeThread,"VGUC: What It Means, and What It's Actually Worth","VGUC means Very Good Used Condition, but sellers use it loosely. What VGUC really covers, where it lands on a 1-10 grade, and what to check before you buy."
/blog/mercari-partial-item-returns-reseller-guide,607,5,0.82,8.5,3.0,13.2,/blog,Mercari Partial Item Returns: A Reseller's Handling Guide,"Mercari Partial Refunds: Yes, and How to Fight One","Mercari does allow partial refunds, and buyers use them to claw back money on items that arrived as described. How to document, dispute and reconcile one."
/compare/vinted-vs-mercari,530,6,1.13,8.5,3.0,9.8,/compare,Vinted vs Mercari for Resellers (2026) | GradeThread,Vinted vs Mercari: Which Pays Sellers More in 2026,"Vinted charges the buyer, Mercari charges you. Fees, payout speed, category fit and how each handles condition disputes, worked through on a $40 item."
/value/nike/tech-fleece,116,0,0.0,6.5,4.5,5.3,/value,Nike Tech Fleece resale value by condition — GradeThread Value Index,Nike Tech Fleece Resale Value: What Yours Is Worth,"What a used Nike Tech Fleece actually sells for at each condition grade, from condition-matched sold comps rather than asking prices. Updated monthly."
/condition-grading,196,0,0.0,11.3,1.8,3.5,/condition-grading,What Is Clothing Condition Grading? | GradeThread,How to Grade Used Clothing Condition (1-10 Scale),"Clothing condition grading on a 1.0-10.0 scale: 5 weighted factors, 7 tiers from NWT to Poor, and the criteria graders actually apply, with worked examples."
/compare/grailed-vs-ebay,165,1,0.61,9.7,2.6,3.3,/compare,Grailed vs eBay for Resellers (2026) | GradeThread,Grailed vs eBay: Where Menswear Actually Sells,"Grailed vs eBay for used menswear: the fee split, buyer base, payout speed and condition disputes. Plus what to expect if you move listings between them."
/compare/grailed-vs-poshmark,124,0,0.0,11.0,1.9,2.3,/compare,Grailed vs Poshmark for Resellers (2026) | GradeThread,Grailed vs Poshmark: Which Fits Your Inventory,"Grailed vs Poshmark on fees, audience, shipping and condition disputes. Which suits menswear, streetwear and designer resale, and when to list on both."
/grading/flaws/elastic-degradation,66,0,0.0,8.1,3.2,2.1,/grading,Elastic Degradation: Grade Impact | GradeThread,"Stretched Elastic: Can You Fix It, What It Costs You","Slack, crumbly or wavy elastic in waistbands and cuffs. How to test the rebound, whether it is recoverable, what it does to the grade, and how to disclose it."
/blog/nwot-vs-nwt-clothing-condition-difference,70,0,0.0,8.8,2.9,2.0,/blog,NWOT vs. NWT: Difference Between NWOT and NWT Clothing,NWOT vs NWT: The 20-30% Price Gap Sellers Miss,"NWOT and NWT are one tag apart and priced worlds apart. The exact definitions, the size of the pricing gap, and how to recover value on tagless new items."
/blog/clothing-condition-grading-scale-explained,109,0,0.0,13.4,1.5,1.6,/blog,Clothing Condition Grading Scale: What 1.0–10.0 Means,"The Grading Scale, Tier by Tier, With Real Examples","What each band on the 1.0-10.0 clothing condition scale means in practice, from NWT down to Poor, with the criteria and an example garment at every tier."
